Row Labels,Days,HFRX Absolute Return Index,HFRX ED: Distressed Restructuring Index,HFRX ED: Merger Arbitrage Index,HFRX ED: Special Situations Index,HFRX EH: Equity Market Neutral Index,HFRX EH: Fundamental Growth Index,HFRX EH: Fundamental Value Index,HFRX Emerging Markets Composite Index,HFRX Equal Weighted Strategies CHF Index,HFRX Equal Weighted Strategies EUR Index
7/17/2012,92,100.2043762,98.32590521,99.38091098,97.27383929,97.64779351,96.16752748,100.3078524,99.62075798,99.08706103,99.21620041
7/18/2012,93,100.0779579,98.28365041,99.38815564,97.25405191,97.45524563,96.43414592,100.4957485,99.56658055,99.05225928,99.17847239
7/19/2012,94,99.94416527,98.20920148,99.45269896,97.31071576,97.26894255,96.8896749,100.6889523,99.71205699,99.01017344,99.13697157
7/20/2012,95,99.97682332,98.36413574,99.58771306,97.25764962,97.15237302,96.74162798,100.5021178,99.7531917,99.0206949,99.15300598
7/23/2012,98,99.96312801,98.25648661,99.53041439,97.13892537,97.16902581,96.10120782,100.0116772,99.53949184,98.84992352,98.97662749
7/24/2012,99,99.77350063,98.54522772,99.15698517,96.87629293,96.94004996,95.90961769,99.66348553,99.46625198,98.76979855,98.89268265
7/25/2012,100,99.70081013,98.31383241,99.13459259,96.82412621,96.93900916,96.46764069,99.77813399,99.42812712,98.71314454,98.84457943
7/26/2012,101,99.53119897,98.21523788,99.08849021,97.06427299,96.91298918,96.50850432,100.3460685,99.27863754,98.69372031,98.82288582
7/27/2012,102,99.43954574,98.17901949,99.4447957,97.46721592,96.94525396,96.85618012,100.8662328,99.29017532,98.84830483,98.97945709
7/30/2012,105,99.5217176,98.09853416,99.26302063,97.44023313,96.74125729,96.93991707,100.8322629,99.30321804,98.81674045,98.95021788
7/31/2012,106,99.61126387,98.26654728,99.15500935,97.46091993,97.00457952,96.61702741,100.8715406,99.30171311,98.92762045,99.05679953
8/1/2012,107,99.71977287,98.18203769,98.84809926,97.2981238,96.68401332,96.44754383,100.7462766,99.36441847,98.71880994,98.91720586
8/2/2012,108,99.86515386,98.14682536,98.83558576,97.37007789,96.91819317,96.30217649,100.6019044,99.32228047,98.77303593,98.90400106
8/3/2012,109,99.91888162,98.02710343,98.75918754,97.78921048,97.14404663,96.16685759,101.3938281,99.06594096,98.89039067,99.02378752
8/6/2012,112,99.99894651,97.97881224,99.04172923,97.86026515,97.17214821,96.49845589,101.5827857,98.98166495,98.95028206,99.08509555
8/7/2012,113,100.1232578,98.24240168,99.15698517,98.04914465,97.0326811,96.71014289,101.6432947,99.4326419,99.11862541,99.25487163
8/8/2012,114,100.1337927,98.34300834,99.11220001,98.01856416,97.11698585,96.56611534,101.8004055,99.26960797,99.11296001,99.25958763
8/9/2012,115,100.1885739,98.31986881,99.21099081,98.15257865,97.06910908,96.44486425,101.7048651,99.29117861,99.16152059,99.30769086
8/10/2012,116,100.1485414,98.02710343,99.1240549,98.06623374,97.0347627,96.9050825,101.7218501,99.50287191,99.10648527,99.25581483
8/13/2012,119,100.1632902,97.9888729,99.02921573,98.10131136,97.02019151,97.13887605,101.8524219,99.78078206,99.07087417,99.22374601
8/14/2012,120,100.2085901,98.08746743,99.01538502,98.12199817,97.06910908,97.08796399,101.8640991,99.88060899,99.15423651,99.29825885
8/15/2012,121,100.2644248,98.17197702,99.16225401,98.2263316,97.06182348,97.27754443,101.9267311,99.98394743,99.20927183,99.36051008
8/16/2012,122,100.071637,98.23636528,99.20769778,98.29738627,96.81099084,97.1763902,101.9012537,99.97592114,99.1785168,99.33127087
8/17/2012,123,100.1232578,97.97076371,99.32690535,98.4358979,96.82139883,97.06987681,101.8131442,99.98043593,99.15423651,99.30674766
8/20/2012,126,100.0642626,97.98686077,99.20901499,98.45748413,96.89321399,96.82067566,101.7738665,99.83144799,99.14209636,99.30108845
8/21/2012,127,100.0937602,98.03313983,99.22152849,98.48266806,96.74750208,96.72019132,101.7165423,99.82843813,99.15180848,99.30769086
8/22/2012,128,99.97260938,98.03817017,99.23601781,98.343257,96.81619484,96.85484033,101.5880935,99.75770649,99.08625169,99.23978042
8/23/2012,129,100.0168558,98.0582915,99.26763086,98.32346963,96.75999167,96.87560709,101.4914916,99.81740199,99.06278074,99.22280281
8/24/2012,130,100.0263371,98.0371641,99.29858532,98.34685471,96.77039967,96.99953777,101.5615545,99.80636585,99.10243855,99.25864443
8/27/2012,133,99.93889784,98.00195177,99.30714719,98.38463061,96.60179017,96.9492956,101.5021072,99.91070757,99.07492089,99.22751882
8/28/2012,134,99.98314423,97.90436331,99.24589689,98.43050134,96.66944213,96.94795581,101.4829991,99.83646442,99.04659388,99.20959801
8/29/2012,135,99.91888162,97.93052104,99.42635475,98.56811354,96.73917569,96.76641412,101.5636777,99.57761669,99.11215067,99.27184924
8/30/2012,136,99.87568872,97.91844824,99.29265787,98.48356748,96.83805162,96.51520328,101.4065668,99.34886754,99.03769111,99.2029956
8/31/2012,137,99.87568872,97.92850891,99.309123,98.64366534,96.92131557,97.11877918,101.5902167,99.83445785,99.20279709,99.36616929
9/4/2012,141,99.88727706,98.01503063,99.17015727,98.65805616,96.99729392,97.05111973,101.7568816,99.68546991,99.19713169,99.36239648
9/5/2012,142,99.89465145,98.01201243,99.02262968,98.73450738,97.17214821,96.83742305,101.8842687,99.48832426,99.18741957,99.35862368
9/6/2012,143,100.0052674,98.05326116,98.99233383,99.04750769,97.09200666,97.63124929,102.3131389,99.61122677,99.30396497,99.47275094
9/7/2012,144,100.0526743,98.27258368,99.02658131,99.31014013,96.89113239,97.76790798,101.9808707,99.92375028,99.3420041,99.50859256
9/10/2012,147,99.98841166,98.24944415,98.93569377,99.25707399,96.89633639,97.60780294,101.9118693,99.76523113,99.2537857,99.42559092
9/11/2012,148,99.99789303,98.51303359,98.87444348,99.38029537,96.8734388,98.06199214,102.0222715,100.1394567,99.32905461,99.49350135
9/12/2012,149,99.91993511,98.53416099,98.83360995,99.51790757,96.7110741,98.63408295,101.8290676,100.5171938,99.3007276,99.46803494
9/13/2012,150,99.86304689,98.70821051,98.92054585,99.67440773,96.7235637,98.47598759,102.1761977,100.4203767,99.42131971,99.58499179
9/14/2012,151,100.0621556,99.01405475,99.12142048,99.88577288,96.99729392,98.72719843,102.4660035,100.7629988,99.63579562,99.7962687
9/17/2012,154,100.1675042,99.01405475,99.0502911,99.79672969,96.96815154,98.08476858,102.2250295,100.2548346,99.5451492,99.70666465
9/18/2012,155,100.1696112,98.79372617,99.13195817,99.69329568,96.92756037,98.16113668,102.3364932,100.379242,99.54757723,99.70194865
9/19/2012,156,100.1243113,98.71525298,99.1609368,99.68969797,96.80578684,98.18257334,102.3014618,100.3506484,99.52086891,99.68874385
9/20/2012,157,99.90623979,98.7776291,99.10100371,99.55928118,96.67880933,98.02581778,102.3333086,100.1805914,99.47230833,99.64252702
9/21/2012,158,99.81247959,98.84604163,99.17015727,99.81291936,96.63093256,97.90791616,102.4097409,100.0707316,99.5451492,99.71892626
9/24/2012,161,99.83776324,98.80278077,98.96072078,99.85339353,96.73397169,97.78130589,102.3832019,100.0190624,99.48930453,99.66139103
9/25/2012,162,99.80299822,98.81284143,98.90473932,99.66541347,96.70899251,97.59842441,102.4012484,99.87208107,99.42698512,99.5963102
9/26/2012,163,99.66499162,98.72028331,98.88695698,99.57996798,96.7225229,97.39544605,102.1645205,99.81389049,99.27320994,99.44634133
9/27/2012,164,99.71871938,98.68205278,99.02394689,99.60605134,96.70170691,97.68417104,102.358786,99.85201535,99.34281344,99.51613816
9/28/2012,165,99.72820075,98.21825608,99.04831529,99.51970643,96.64654455,97.81212109,102.4330952,99.73864406,99.31853315,99.48878535
10/1/2012,168,99.73978909,98.17700735,99.0746595,99.57906855,96.75999167,97.76187892,102.7727943,99.63179413,99.35171621,99.51708136
10/2/2012,169,99.77876805,98.10960089,99.00287152,99.54489036,96.78288926,98.04256516,102.9150434,99.85000878,99.33795738,99.51142216
10/3/2012,170,99.75559137,98.11865549,99.00945757,99.54668921,96.5684846,97.7049378,102.9797985,99.91020592,99.33876672,99.51236536
10/4/2012,171,99.78719594,97.85305392,99.09705208,99.64472666,96.7235637,98.00505101,103.3640832,99.6899847,99.38732731,99.56141178
10/5/2012,172,99.82090747,97.91341791,99.037119,99.68070371,96.7162781,98.19530135,103.5339328,99.96939978,99.37680585,99.55009338
10/8/2012,175,99.81985399,97.92750284,98.97125846,99.60155421,96.83909242,97.99835206,103.4670545,100.0075246,99.3759965,99.54820698
10/9/2012,176,99.81774702,97.68906506,99.00287152,99.52330413,96.90882598,97.53210474,103.3651447,99.69851263,99.28696877,99.45388693
10/10/2012,177,99.80510519,97.59348874,99.04172923,99.43336152,96.81723564,97.62388044,103.0891392,99.96287843,99.19227563,99.36899889
10/11/2012,178,99.84197718,97.51199734,98.99167523,99.66361461,96.95253955,97.97490571,103.2611119,100.14046,99.27240059,99.45294373
10/12/2012,179,99.84724461,97.41843315,98.99826128,99.7490601,96.95878435,98.11625368,103.2388191,100.0456495,99.24164556,99.41521571
10/15/2012,182,99.8188005,97.15685584,98.99035802,99.9244482,96.88592839,98.36076556,103.4659929,100.0045148,99.24002687,99.41615891
10/16/2012,183,99.90834677,97.04417638,99.05621855,99.98381033,96.90778518,99.12243681,103.7982612,100.21069,99.31043972,99.49067175
10/17/2012,184,99.8409237,97.03310965,99.09573487,100.1250202,96.70691091,98.86117754,103.8545238,100.1048434,99.28535008,99.47086454
10/18/2012,185,99.782982,97.08643118,98.87839511,100.1933766,96.48834305,98.73657697,103.6549506,100.2232311,99.24569227,99.43030692
10/19/2012,186,99.74927046,97.07335231,98.61034274,99.96492238,96.5570358,98.74595551,103.4819163,100.3250646,99.15828322,99.33975967
10/22/2012,189,99.51539669,97.03612785,98.02879423,99.58266626,96.39258951,98.48670592,103.4118534,100.337104,99.00450804,99.1897908
10/23/2012,190,99.47536424,96.82183567,97.77786559,99.46753971,96.46648626,98.48402634,103.0063375,100.3436254,98.8288806,99.01435551
